state,year,num_observations,num_users,urban_obs,pctUrban,stayathome
Tennessee,2019,9517,40,464,4.87548597247032,0
Tennessee,2020,6072,35,726,11.9565217391304,31
Texas,2015,1708,10,1613,94.4379391100703,0
Texas,2016,2030,15,1959,96.5024630541872,0
Texas,2017,2487,12,2365,95.0944913550462,0
Texas,2018,1910,8,1888,98.848167539267,0
Texas,2019,1750,109,1703,97.3142857142857,0
Texas,2020,1030,179,607,58.9320388349515,31
Utah,2015,411,8,57,13.8686131386861,0
Utah,2016,151,7,76,50.3311258278146,0
Utah,2017,170,11,136,80,0
Utah,2018,126,9,118,93.6507936507936,0
Utah,2019,491,12,442,90.020366598778,0
Utah,2020,483,15,124,25.6728778467909,0
Virginia,2015,3595,36,1522,42.336578581363,0
Virginia,2016,1338,13,1141,85.2765321375187,0
Virginia,2017,1892,49,1518,80.2325581395349,0
Virginia,2018,1807,59,1016,56.2257885998893,0
Virginia,2019,2192,53,1957,89.279197080292,0
Virginia,2020,790,30,532,67.3417721518987,0
Vermont,2015,175,9,34,19.4285714285714,0
Vermont,2016,143,7,38,26.5734265734266,0
Vermont,2017,25,6,5,20,0
Vermont,2018,6,3,3,50,0
Vermont,2019,111,4,43,38.7387387387387,0
Vermont,2020,325,8,32,9.84615384615385,48
Washington,2015,1294,27,1140,88.0989180834621,0
Washington,2016,1029,10,644,62.5850340136054,0
Washington,2017,1526,18,995,65.2031454783748,0
Washington,2018,1480,26,1046,70.6756756756757,0
Washington,2019,1172,39,465,39.6757679180887,0
Washington,2020,856,34,610,71.2616822429907,68
Wisconsin,2015,737,27,533,72.3202170963365,0
Wisconsin,2016,681,31,491,72.0998531571219,0
Wisconsin,2017,528,18,432,81.8181818181818,0
Wisconsin,2018,714,21,512,71.7086834733894,0
Wisconsin,2019,753,19,570,75.6972111553785,0
Wisconsin,2020,834,31,348,41.726618705036,42
West Virginia,2015,229,12,2,0.873362445414847,0
West Virginia,2016,325,14,1,0.307692307692308,0
West Virginia,2017,920,22,422,45.8695652173913,0
West Virginia,2018,784,20,573,73.0867346938776,0
West Virginia,2019,867,17,714,82.3529411764706,0
West Virginia,2020,381,9,273,71.6535433070866,50
Wyoming,2015,131,4,115,87.7862595419847,0
Wyoming,2016,198,6,190,95.959595959596,0
Wyoming,2017,176,6,162,92.0454545454546,0
Wyoming,2018,323,9,92,28.4829721362229,0
Wyoming,2019,328,7,109,33.2317073170732,0
Wyoming,2020,320,19,162,50.625,0
